tf.__version__ is 2.2.0-rc0
tf.keras.__version__ is: 2.2.4-tf
loading model from file: models/Breakout__90.0max_34.0avg_18.0min__1586815605.model
weights restored successfully..
Model: "sequential"
_________________________________________________________________
Layer (type)                 Output Shape              Param #   
=================================================================
conv2d (Conv2D)              (None, 32, 20, 20)        8224      
_________________________________________________________________
conv2d_1 (Conv2D)            (None, 64, 9, 9)          32832     
_________________________________________________________________
conv2d_2 (Conv2D)            (None, 64, 7, 7)          36928     
_________________________________________________________________
flatten (Flatten)            (None, 3136)              0         
_________________________________________________________________
dense (Dense)                (None, 512)               1606144   
_________________________________________________________________
dense_1 (Dense)              (None, 4)                 2052      
=================================================================
Total params: 1,686,180
Trainable params: 1,686,180
Non-trainable params: 0
_________________________________________________________________
None
reward_avg=21.5, reward_min=0, reward_max=43.0, epsilon=0.19
reward_avg=28.38, reward_min=6.0, reward_max=47.0, epsilon=0.18860851560596248
min_reward>old_min_reward saving model...
reward_avg=33.06, reward_min=12.0, reward_max=68.0, epsilon=0.18719913780663536
min_reward>old_min_reward saving model...
reward_avg=34.0, reward_min=14.0, reward_max=68.0, epsilon=0.185800291587894
min_reward>old_min_reward saving model...
reward_avg=36.7, reward_min=12.0, reward_max=78.0, epsilon=0.1844118982524649
reward_avg=31.0, reward_min=10.0, reward_max=57.0, epsilon=0.18303387969114088
reward_avg=31.3, reward_min=9.0, reward_max=73.0, epsilon=0.18166615837838554
reward_avg=34.14, reward_min=7.0, reward_max=72.0, epsilon=0.18030865736797283
reward_avg=36.2, reward_min=15.0, reward_max=67.0, epsilon=0.17896130028865723
min_reward>old_min_reward saving model...
reward_avg=38.58, reward_min=5.0, reward_max=248.0, epsilon=0.17762401133987785
reward_avg=37.62, reward_min=12.0, reward_max=77.0, epsilon=0.17629671528749352
reward_avg=34.4, reward_min=9.0, reward_max=76.0, epsilon=0.17497933745955083
reward_avg=35.5, reward_min=13.0, reward_max=66.0, epsilon=0.17367180374208252
reward_avg=39.42, reward_min=3.0, reward_max=94.0, epsilon=0.17237404057493827
reward_avg=36.26, reward_min=2.0, reward_max=101.0, epsilon=0.17108597494764619
reward_avg=35.12, reward_min=9.0, reward_max=69.0, epsilon=0.16980753439530558
reward_avg=38.8, reward_min=12.0, reward_max=88.0, epsilon=0.16853864699450985
reward_avg=41.64, reward_min=12.0, reward_max=82.0, epsilon=0.16727924135930014
reward_avg=40.72, reward_min=10.0, reward_max=305.0, epsilon=0.16602924663714982
reward_avg=35.98, reward_min=5.0, reward_max=69.0, epsilon=0.16478859250497774
reward_avg=36.18, reward_min=7.0, reward_max=71.0, epsilon=0.16355720916519223
reward_avg=34.18, reward_min=11.0, reward_max=69.0, epsilon=0.16233502734176436
reward_avg=31.66, reward_min=6.0, reward_max=61.0, epsilon=0.1611219782763307
reward_avg=33.18, reward_min=11.0, reward_max=73.0, epsilon=0.15991799372432502
reward_avg=39.74, reward_min=19.0, reward_max=63.0, epsilon=0.1587230059511384
min_reward>old_min_reward saving model...
reward_avg=39.36, reward_min=9.0, reward_max=76.0, epsilon=0.15753694772830953
reward_avg=40.78, reward_min=12.0, reward_max=82.0, epsilon=0.15635975232974184
reward_avg=35.62, reward_min=4.0, reward_max=73.0, epsilon=0.15519135352794966
reward_avg=36.8, reward_min=11.0, reward_max=61.0, epsilon=0.15403168559033253
reward_avg=37.46, reward_min=3.0, reward_max=72.0, epsilon=0.152880683275477
reward_avg=39.38, reward_min=15.0, reward_max=68.0, epsilon=0.1517382818294863
reward_avg=41.42, reward_min=17.0, reward_max=75.0, epsilon=0.15060441698233754
reward_avg=38.54, reward_min=10.0, reward_max=86.0, epsilon=0.14947902494426563
reward_avg=41.34, reward_min=5.0, reward_max=334.0, epsilon=0.14836204240217502
reward_avg=34.4, reward_min=12.0, reward_max=78.0, epsilon=0.14725340651607707
reward_avg=35.8, reward_min=10.0, reward_max=72.0, epsilon=0.1461530549155554
reward_avg=39.12, reward_min=6.0, reward_max=77.0, epsilon=0.14506092569625675
reward_avg=35.78, reward_min=10.0, reward_max=82.0, epsilon=0.14397695741640854
reward_avg=39.84, reward_min=15.0, reward_max=67.0, epsilon=0.1429010890933616
reward_avg=38.0, reward_min=14.0, reward_max=76.0, epsilon=0.14183326020016035
reward_avg=37.4, reward_min=13.0, reward_max=87.0, epsilon=0.14077341066213686
reward_avg=40.72, reward_min=9.0, reward_max=77.0, epsilon=0.13972148085353125
reward_avg=33.94, reward_min=8.0, reward_max=57.0, epsilon=0.13867741159413755
reward_avg=43.04, reward_min=11.0, reward_max=94.0, epsilon=0.137641144145974
reward_avg=38.08, reward_min=15.0, reward_max=65.0, epsilon=0.1366126202099785
reward_avg=37.5, reward_min=12.0, reward_max=73.0, epsilon=0.1355917819227291
